id,lock_number,name,common_name,mile,alternate_mile,latitude,longitude,notes,source_ids
lock-38,38,Lock 38,Shepherdstown Lock,72.7,72.65,39.436923,-77.800382,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-39,39,Lock 39,One Mile Lock,74.0,74.0,39.446563,-77.782969,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-40,40,Lock 40,,79.4,79.41,39.486323,-77.777038,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-41,41,Lock 41,,88.9,88.9,39.532456,-77.839459,Above Big Slackwater.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-42,42,Lock 42,,89.0,89.04,39.531319,-77.840599,Above Big Slackwater.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-43,43,Lock 43,,92.9,92.96,39.543371,-77.867558,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-44,44,Lock 44,Williamsport,99.1,99.3,39.592623,-77.825474,Mile references vary slightly by source.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-45,45,Lock 45,Two Locks 1,107.0,107.27,39.610333,-77.92506,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-46,46,Lock 46,Two Locks 2,107.2,107.42,39.613054,-77.925573,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-47,47,Lock 47,Four Locks 1,108.7,108.8,39.616916,-77.946986,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-48,48,Lock 48,Four Locks 2,108.8,108.8,39.615704,-77.947982,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-49,49,Lock 49,Four Locks 3,108.9,108.8,39.614369,-77.948654,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-50,50,Lock 50,Four Locks 4,109.0,108.8,39.613005,-77.949229,Beginning of the 14-mile level.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-51,51,Lock 51,Hancock 1,122.7,122.59,39.692982,-78.150004,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-52,52,Lock 52,Hancock 2,122.9,122.85,39.69346,-78.153723,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-53,53,Lock 53,Irishman's Lock,130.1,130.0,39.651246,-78.241386,Near Leopards Mill.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-54,54,Lock 54,,134.0,134.0,39.623685,-78.289192,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-55,55,Lock 55,,134.2,134.0,39.625375,-78.292234,At Dam 6 / Guard Lock 6.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-56,56,Lock 56,Sideling Lock,136.2,136.2,39.636717,-78.326765,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-57,57,Lock 57,,139.4,139.2,39.627721,-78.362741,Mile references vary slightly by source.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-58,58,Lock 58,,144.0,143.9,39.620124,-78.404766,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-59,59,Lock 59,,146.5,146.6,39.611125,-78.43243,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-60,60,Lock 60,,149.6,149.7,39.582287,-78.402933,Stickpile Hill.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
