id,name,mile,mile_end,latitude,longitude,has_amenity_data,parking,restrooms,water,picnic_tables,camping,camping_fee_area,camping_tent,boat_ramp,canoe_kayak_ramp,visitor_center,food,bike_rentals,boat_rentals,canal_quarters,fee_area,source_ids
access-lock-38-shepherdstown-72-8,Lock 38 (Shepherdstown),72.8,,39.436456,-77.799527,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-snyders-landing-76-7,Snyders Landing,76.7,,39.46527,-77.777313,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-taylors-landing-81-0,Taylors Landing,81.0,,39.499645,-77.767866,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-dam-no-4-84-4,Dam No. 4,84.4,,39.496001,-77.826266,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-big-slackwater-boat-ramp-85-4,Big Slackwater Boat Ramp,85.4,,39.501346,-77.845385,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-mcmahons-mill-88-1,McMahons Mill,88.1,,39.530654,-77.823522,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-spring-dell-road-89-1,Spring Dell Road,89.1,,39.530309,-77.844116,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-lock-44-99-3,Lock 44,99.3,,39.595037,-77.824712,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-williamsport-visitor-center-99-8,Williamsport Visitor Center,99.8,,39.600996,-77.826927,true,true,true,true,true,false,false,false,true,false,true,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-gift-road-103-3,Gift Road,103.3,,39.616863,-77.888503,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-dam-no-5-road-106-2,Dam No. 5 Road,106.2,,39.604678,-77.911877,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-dam-no-5-106-8,Dam No. 5,106.8,,39.607079,-77.921117,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-lock-46-107-4,Lock 46,107.4,,39.615866,-77.926626,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-four-locks-108-8,Four Locks,108.8,,39.615311,-77.947494,true,true,true,true,true,false,false,false,true,false,false,false,false,false,true,false,co_canal_association_access_points|nps_recreation_guide
access-mccoys-ferry-110-4,McCoys Ferry,110.4,,39.609261,-77.970065,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-fort-frederick-112-4,Fort Frederick,112.4,,39.605391,-78.005041,true,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-ernstville-road-114-5,Ernstville Road,114.5,,39.63297,-78.028951,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-licking-creek-116-3,Licking Creek,116.3,,39.655987,-78.053946,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-little-pool-119-6,Little Pool,119.6,,39.68443,-78.103796,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-hancock-visitor-center-122-8,Hancock Visitor Center,122.8,,39.694227,-78.154046,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-hancock-124-1,Hancock,124.1,,39.698253,-78.181036,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-berm-road-125-6,Berm Road,125.6,,39.683618,-78.199002,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-cohill-station-130-7,Cohill Station,130.7,,39.645446,-78.251711,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-pearre-road-dam-6-134-0,"Pearre Road, Dam #6",134.0,,39.628174,-78.298256,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-wmrt-pearre-parking-lot-135-9,WMRT Pearre parking lot,135.9,,39.63648,-78.323262,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-lock-56-pearre-136-2,Lock 56 (Pearre),136.2,,39.637868,-78.328302,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-little-orleans-140-8,Little Orleans,140.8,,39.625648,-78.385868,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-kasecamp-road-147-1,Kasecamp Road,147.1,,39.603639,-78.42582,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-bonds-landing-150-1,Bonds Landing,150.1,,39.582848,-78.411246,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-roby-hollow-151-2,Roby Hollow,151.2,,39.590113,-78.429294,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-twigg-hollow-153-3,Twigg Hollow,153.3,,39.58128,-78.46154,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-paw-paw-tunnel-156-2,Paw Paw Tunnel,156.2,,39.54445,-78.460806,true,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-lock-67-161-9,Lock 67,161.9,,39.5256,-78.53626,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-town-creek-aqueduct-162-3,Town Creek Aqueduct,162.3,,39.523862,-78.543122,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-oldtown-lock-70-166-7,Oldtown (Lock 70),166.7,,39.540405,-78.611936,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-spring-gap-173-3,Spring Gap,173.3,,39.564306,-78.719289,true,true,false,true,true,true,true,false,true,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-north-branch-175-6,North Branch,175.6,,39.587698,-78.743462,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
access-river-road-176-4,River Road,176.4,,39.587303,-78.754629,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-mexico-farms-178-3,Mexico Farms,178.3,,39.599369,-78.750544,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-brehm-road-178-9,Brehm Road,178.9,,39.603402,-78.741713,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-candoc-recreation-area-181-8,Candoc Recreation Area,181.8,,39.625274,-78.759307,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-canal-parkway-182-6,Canal Parkway,182.6,,39.622741,-78.773223,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-elizabeth-street-183-1,Elizabeth Street,183.1,,39.629393,-78.773132,false,,,,,,,,,,,,,,,,co_canal_association_access_points
access-cumberland-visitor-center-184-5,Cumberland Visitor Center,184.5,,39.649348,-78.7628,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,co_canal_association_access_points|nps_recreation_guide
