id,name,feature_type,mile,mile_end,latitude,longitude,source_ids
nps-seneca-rileys-lock-22-8,Seneca (Rileys Lock),lock,22.8,,39.068286,-77.346606,nps_recreation_guide|nps_towpath_reference
nps-horsepen-branch-26-1,Horsepen Branch,campground,26.1,,39.070955,-77.407783,nps_recreation_guide|nps_towpath_reference
access-sycamore-landing-27-2,Sycamore Landing,access_point,27.2,,39.074731,-77.420193,co_canal_association_access_points|nps_recreation_guide
nps-sycamore-landing-27-2,Sycamore Landing,boat_access,27.2,,39.075666,-77.42733,nps_recreation_guide|nps_towpath_reference
nps-chisel-branch-30-5,Chisel Branch,campground,30.5,,39.103718,-77.47244,nps_recreation_guide|nps_towpath_reference
access-edwards-ferry-30-8,Edwards Ferry,access_point,30.8,,39.103463,-77.472933,co_canal_association_access_points|nps_recreation_guide
nps-edwards-ferry-30-8,Edwards Ferry,canal_quarters,30.8,,39.107701,-77.474461,nps_recreation_guide|nps_towpath_reference
lock-25,Lock 25,lock,30.8,,39.107701,-77.474461,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-turtle-run-34-4,Turtle Run,campground,34.4,,39.140468,-77.515859,nps_recreation_guide|nps_towpath_reference
access-whites-ferry-35-5,Whites Ferry,access_point,35.5,,39.154861,-77.518206,co_canal_association_access_points|nps_recreation_guide
nps-whites-ferry-35-5,Whites Ferry,boat_access,35.5,,39.155967,-77.517122,nps_recreation_guide|nps_towpath_reference
nps-marble-quarry-38-2,Marble Quarry,campground,38.2,,39.181872,-77.485457,nps_recreation_guide|nps_towpath_reference
lock-26,Lock 26,lock,39.4,,39.193486,-77.470144,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-dickerson-conservation-park-39-6,Dickerson Conservation Park,access_point,39.6,,39.194685,-77.469402,co_canal_association_access_points
lock-27,Lock 27,lock,41.5,,39.218818,-77.454126,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-monocacy-aqueduct-42-1,Monocacy Aqueduct,access_point,42.1,,39.222563,-77.449987,co_canal_association_access_points|nps_recreation_guide
nps-monocacy-aqueduct-42-2,Monocacy Aqueduct,aqueduct,42.2,,39.227429,-77.45473,nps_recreation_guide|nps_towpath_reference
nps-indian-flats-42-5,Indian Flats,campground,42.5,,39.23083,-77.458139,nps_recreation_guide|nps_towpath_reference
access-nolands-ferry-44-6,Nolands Ferry,access_point,44.6,,39.249948,-77.482726,co_canal_association_access_points|nps_recreation_guide
nps-nolands-ferry-44-6,Nolands Ferry,boat_access,44.6,,39.252415,-77.485425,nps_recreation_guide|nps_towpath_reference
nps-calico-rocks-47-6,Calico Rocks,campground,47.6,,39.27256,-77.533248,nps_recreation_guide|nps_towpath_reference
access-point-of-rocks-48-2,Point of Rocks,access_point,48.2,,39.273218,-77.540045,co_canal_association_access_points|nps_recreation_guide
nps-point-of-rocks-48-2,Point of Rocks,canal_quarters,48.2,,39.274382,-77.544101,nps_recreation_guide|nps_towpath_reference
lock-28,Lock 28,lock,48.9,,39.283511,-77.549342,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-bald-eagle-island-50-3,Bald Eagle Island,campground,50.3,,39.301381,-77.556463,nps_recreation_guide|nps_towpath_reference
lock-29,Lock 29,lock,50.8,,39.307897,-77.559807,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lander-50-9,Lander,access_point,50.9,,39.306507,-77.558006,co_canal_association_access_points|nps_recreation_guide
access-brunswick-55-0,Brunswick,access_point,55.0,,39.31122,-77.630749,co_canal_association_access_points|nps_recreation_guide
lock-30,Lock 30,lock,55.0,,39.31242,-77.634638,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-brunswick-55-0,Brunswick,visitor_center,55.0,,39.31242,-77.634638,nps_recreation_guide|nps_towpath_reference
access-weverton-58-0,Weverton,access_point,58.0,,39.329916,-77.681966,co_canal_association_access_points
lock-31,Lock 31,lock,58.0,,39.328068,-77.683948,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-32,Lock 32,lock,60.2,,39.323567,-77.72272,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-33,Lock 33,lock,60.7,,39.327557,-77.729463,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-maryland-heights-61-3,Maryland Heights,access_point,61.3,,39.329395,-77.731919,co_canal_association_access_points
lock-34,Lock 34,lock,61.5,,39.334099,-77.741529,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lock-34-61-6,Lock 34,access_point,61.6,,39.33343,-77.738577,co_canal_association_access_points
nps-huckleberry-hill-62-0,Huckleberry Hill,campground,62.0,,39.336603,-77.75009,nps_recreation_guide|nps_towpath_reference
lock-35,Lock 35,lock,62.3,,39.337156,-77.754509,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-36,Lock 36,lock,62.5,,39.339316,-77.756845,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-dargan-bend-64-9,Dargan Bend,access_point,64.9,,39.364182,-77.740073,co_canal_association_access_points|nps_recreation_guide
nps-dargan-bend-64-9,Dargan Bend,boat_access,64.9,,39.367567,-77.741581,nps_recreation_guide|nps_towpath_reference
lock-37,Lock 37,lock,66.9,,39.386103,-77.733989,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-mountain-lock-67-0,Mountain Lock,access_point,67.0,,39.385295,-77.734451,co_canal_association_access_points
access-antietam-69-5,Antietam,access_point,69.5,,39.419001,-77.74657,co_canal_association_access_points|nps_recreation_guide
nps-antietam-creek-69-6,Antietam Creek,campground,69.6,,39.421685,-77.749059,nps_recreation_guide|nps_towpath_reference
access-railroad-bridge-shepherdstown-72-4,Railroad bridge (Shepherdstown),access_point,72.4,,39.433927,-77.795512,co_canal_association_access_points
lock-38,Lock 38,lock,72.7,,39.436923,-77.800382,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lock-38-shepherdstown-72-8,Lock 38 (Shepherdstown),access_point,72.8,,39.436456,-77.799527,co_canal_association_access_points|nps_recreation_guide
nps-ferry-hill-72-8,Ferry Hill,recreation_location,72.8,,39.438311,-77.800383,nps_recreation_guide|nps_towpath_reference
lock-39,Lock 39,lock,74.0,,39.446563,-77.782969,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-killiansburg-cave-75-2,Killiansburg Cave,campground,75.2,,39.459017,-77.796743,nps_recreation_guide|nps_towpath_reference
nps-snyders-landing-76-6,Snyders Landing,boat_access,76.6,,39.463713,-77.776086,nps_recreation_guide|nps_towpath_reference
access-snyders-landing-76-7,Snyders Landing,access_point,76.7,,39.46527,-77.777313,co_canal_association_access_points|nps_recreation_guide
nps-horseshoe-bend-79-2,Horseshoe Bend,campground,79.2,,39.485611,-77.780687,nps_recreation_guide|nps_towpath_reference
lock-40,Lock 40,lock,79.4,,39.486323,-77.777038,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
